class,id,url
B,KSI-CNA-IBP,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-CNA-MAT,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-CNA-OFA,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-CNA-RNT,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-CNA-RVP,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-CNA-ULN,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-IAM-AAM,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-IAM-APM,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-IAM-ELP,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-IAM-JIT,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-IAM-SNU,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-IAM-SUS,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-INR-AAR,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-INR-RIR,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-INR-RPI,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-MLA-ALA,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-MLA-EVC,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-MLA-LET,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-MLA-OSM,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-MLA-RVL,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-PIY-GIV,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-PIY-RES,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-PIY-RIS,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-PIY-RSD,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-PIY-RVD,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-RPL-ABO,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-RPL-ARP,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-RPL-RRO,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-RPL-TRC,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SCR-MIT,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SCR-MON,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-ACM,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-ASM,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-EIS,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-PRR,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-RUD,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-SIN,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-VCM,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,KSI-SVC-VRI,https://fedramp.gov/2026/reference/20x/b/key-security-indicators/
B,AFC-FRP-VRE,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-FRP-CDS,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-FRP-UFS,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-FRP-PNT,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-FRP-RQA,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-FRP-ERT,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-FRP-COR,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-FRP-RPM,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-INB,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-NOC,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-TFG,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-RCV,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-CRA,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-EMR,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-IMA,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
B,AFC-CSO-ACK,https://fedramp.gov/2026/reference/20x/b/addressing-fedramp-communication/
